method,board,nodes,solve_length,opt_solve,solve_time
BFS,.BBBKMCC.IKMAA.ILNGDDJLNG.HJEEFFH...,13935,68,41,0.9960684776306152
BFS,BB.IJ.CCCIJLAA.IKLG.DDKMG.HEEMFFH...,6948,69,41,0.33751535415649414
BFS,BBBJ..HCCJ.MHAAKLMDDIKLN..IEEN.FFGG.,8715,69,41,0.41192078590393066
BFS,BBBIJ.CCCIJLAA.IKLG.DDKMG.HEEMFFH...,4728,70,41,0.22132539749145508
BFS,.GBBKL.GHIKLAAHI.L..HJCCFDDJ..FEEE..,4474,74,41,0.19427895545959473
BFS,BBBCCLDDDJ.LAAIJ.M..IEEMH.FFK.HGGGK.,5164,59,41,0.23883628845214844
BFS,G..JBBG..JCCHAAJ..H.IDDKEEI..KFFF..K,5387,86,41,0.22867226600646973
BFS,BB.I.LEG.IKLEGAAKMFCCJKMF.HJ..F.HDD.,7627,59,41,0.3341410160064697
BFS,H.BBCCHDDD.KAAIJ.K..IJEE.FFF.L..GG.L,3947,65,41,0.17431068420410156
BFS,BBG..KF.GCCKF.AAI.DD.HI.EEEHJ....HJ.,4784,67,41,0.20551776885986328
BFS,BBICC.DDI.K.HAA.KLHEEEKLH..JFFGG.J..,4023,56,41,0.1809523105621338
BFS,GBBB.KG.HCCKAAHI.L.DDI.L...JEEFFFJ..,2178,73,41,0.08519458770751953
BFS,BBICC.DDI.KLHAA.KLHEEEKLH..JFFGG.J..,2806,57,41,0.12280654907226562
BFS,BBH...G.HCC.G.AAJ.DD.IJ.EEEIK.FFFIK.,2513,70,41,0.10198783874511719
BFS,G.BBCCGDDD.KAAHI.K..HIEE.FFFJL....JL,2399,65,41,0.10062503814697266
BFS,.HBBCC.H.JK.AA.JKLGDDDKLG.IEE.G.IFF.,2817,62,41,0.12026333808898926
BFS,.BBBCCDDEEEM..KAAMFFKL.MJ..LGGJHHII.,1478,64,41,0.06157851219177246
BFS,BBCCC.I..KDDIAAK.L..JEELFFJ..MGGJHHM,2088,69,41,0.08441948890686035
BFS,HIBBCCHIDDL.HAAKLMEEEKLM..JFFM..JGG.,2454,61,41,0.10641002655029297
BFS,G..BBBG..I.KAA.I.KCCCJ.K..HJDDEEHFF.,1774,67,41,0.06654214859008789
BFS,..GBBJ..GH.JAAGH.JFCCC..FDDI..EE.I..,1509,71,41,0.05096793174743652
BFS,.BBBCC..JDDMAAJKLMIEEKLNIFF..NGGHHHN,991,55,41,0.03967165946960449
BFS,..IBBB..IJCCAAIJ.LH.DDKLHEEEKMFFGGGM,854,52,41,0.0339963436126709
BFS,GIBBLMGICCLMHAAK.NH.JK.NH.JDDDEEFFF.,739,60,41,0.029111146926879883
BFS,GIBBLMGICCLMHAAK.NH.JK.NH.JDDDEEEFF.,696,60,41,0.02728104591369629
BFS,..GBBB..G..JAAH.IJCCH.IKFDD..KFEEE.K,754,55,41,0.026268959045410156
BFS,..GBBB..G..JAAHI.JCCHI.KFDD..KFEEE.K,580,55,41,0.019974946975708008
BFS,BBBJ....IJCCAAI..KH.IDDKHEEE.LFFGGGL,469,55,41,0.01705479621887207
BFS,..GBBB..G..JAAH.IJCCH.IK.FDD.K.FEEEK,493,55,41,0.016486167907714844
BFS,BBHCC.G.H.J.GAA.J.GDDDJ....I..EE.IFF,542,55,41,0.019095659255981445
BFS,HBBB.MHCCJ.MAAIJLMDDIKL....KEEFFGG..,16711,71,40,1.7343227863311768
BFS,F..BBBF..H.KAA.HJKCCCIJK..GIDDEEG...,7683,64,40,0.6101148128509521
BFS,BBBKCC...KDDAAJK.MI.JEEMI.FFLNGGHHLN,7457,61,40,0.6466085910797119
BFS,BB.K..H..KCCHIAALMHIDDLMEEJ.LNFFJGGN,2046,56,40,0.18295598030090332
BFS,F.BBB.F..HJ.AA.HJKCCCIJK..GIDDEEG...,6559,64,40,0.5154757499694824
BFS,BBH...G.HCC.G.AAJ.DD.IJ.EEEIK.FF.IK.,3589,68,40,0.2775237560272217
BFS,HBBCCCHDDK.MAAJK.MEEJFFM.I..L..IGGL.,3178,77,40,0.23991775512695312
BFS,..GBBB..G...AAHIJKCCHIJK.FDD.K.FEEE.,3621,67,40,0.28473448753356934
BFS,.HI.BB.HI..LAAI..LGCCDDLGEEJK.FFFJK.,3927,75,40,0.30707669258117676
BFS,F.HBBBF.HI..FAAI.K.G.IJK.GCCJLDDDEEL,1626,53,40,0.12285923957824707
BFS,HIBBCCHIDDL.HAAKLMEEEKLM..JFF...JGG.,3838,58,40,0.31635618209838867
BFS,.GBBBK.G...K.AAIJLCCHIJLF.HDDLF.HEEE,1772,57,40,0.1309983730316162
BFS,BBH...F.HCCCFAAIJKDD.IJKG..I.LGEEE.L,3144,58,40,0.24556589126586914
BFS,BBB..J..G..J..GAAJCCHI...FHIDD.FEEE.,2009,69,40,0.13148713111877441
BFS,BBH.CC..HDDKAAI..KG.IEELGFFJ.LG..J..,1488,73,40,0.10490059852600098
BFS,F.....FBBB.JAAGH.JCCGH.J...IDD.EEI..,1923,73,40,0.13698530197143555
BFS,.GBBCC.G.IJ.AA.IJ.FDDDJKF.H..KF.HEEK,2051,63,40,0.14434576034545898
BFS,..IBB.CCIJL.HAAJL.HDDEE.FFFK..GG.K..,1229,69,40,0.08761954307556152
BFS,..FBBJ..FG.JAAFGIJECCCI.EDDH.....H..,1538,71,40,0.0918889045715332
BFS,F.....FBBBJ.AAGHJ.CCGHJ....IDD.EEI..,1438,75,40,0.08838176727294922
BFS,.HBBCC.H.JDDAA.JK.GEEEK.G.I.K.G.IFF.,1581,62,40,0.11345076560974121
BFS,..IBB.CCIJL.HAAJL.HDDEE.FFFK..GGGK..,801,69,40,0.05852150917053223
BFS,HBBL..H.JLCCI.JAAMI.KDDM..KEENFFGG.N,808,63,40,0.0541841983795166
